Pop1,Pop2,UnWtFst,WtFst
HP,JA,0.151666,0.305339
HP,LB,0.120194,0.229025
HP,ME,0.163861,0.282008
HP,MT,0.130489,0.259706
HP,MV,0.098888,0.218273
HP,PP,0.153908,0.305187
JA,LB,0.145329,0.268408
JA,ME,0.144649,0.257314
JA,MT,0.157450,0.305909
JA,MV,0.158540,0.332724
JA,PP,0.141387,0.289010
LB,ME,0.151022,0.244010
LB,MT,0.057762,0.102003
LB,MV,0.109446,0.223012
LB,PP,0.147049,0.271211
ME,MT,0.165893,0.281252
ME,MV,0.164424,0.311705
ME,PP,0.065165,0.093835
MT,MV,0.121000,0.257534
MT,PP,0.158533,0.306852
MV,PP,0.161688,0.333554
