ID,TotPrimReads,MapPrimReads,MapRate,finalSNP_MeanDepth
PM_HP_10,3589709,3496020,0.9739006699428839,25.5187
PM_HP_11,3029410,2981231,0.98409624316286,23.7377
PM_HP_12,3741007,3676482,0.9827519702582754,29.4064
PM_HP_13,5760338,5656082,0.9819010620557336,42.454
PM_HP_14,4518305,4440268,0.9827287002537456,33.7849
PM_HP_15,3740154,3658929,0.9782829797917412,27.084
PM_HP_1,5486871,5329325,0.971286731545174,38.9145
PM_HP_2,4595610,4447098,0.9676839418488514,30.7449
PM_HP_3,8243341,8067709,0.9786940756181262,56.2056
PM_HP_4,6225215,6075316,0.975920671012969,45.4506
PM_HP_5,5834864,5684729,0.9742693231581747,42.1908
PM_HP_6,2092984,2015336,0.9629008152952914,14.8219
PM_HP_7,3957407,3861433,0.9757482614247157,29.843
PM_HP_8,5058052,4950210,0.97867914367033,38.0029
PM_HP_9,3865949,3776609,0.9768905383904444,30.3636
PM_JA_10,1543824,1476729,0.9565397350993378,11.0712
PM_JA_11,902574,870338,0.9642843689270908,6.95474
PM_JA_12,2869643,2782386,0.9695930817875255,22.3686
PM_JA_14,1757581,1694420,0.964063676154897,13.0054
PM_JA_15,2716596,2647676,0.9746300149157254,20.8336
PM_JA_1,1303911,1226595,0.9407045419510994,7.67504
PM_JA_2,1490831,1435031,0.9625712102847338,10.8494
PM_JA_3,767466,731901,0.9536591849020022,5.8287
PM_JA_4,3648332,3535093,0.9689614322380748,27.1167
PM_JA_5,5884814,5759805,0.9787573574967705,42.5017
PM_JA_6,4519025,4383295,0.9699647600975875,33.4189
PM_JA_7,11639917,11199648,0.962175933041447,65.8501
PM_JA_8,15794196,15593706,0.987306096492661,93.5649
PM_JA_9,4128647,4018057,0.9732139851142517,28.5824
PM_LB_10,2724806,2650276,0.9726475939938476,20.438
PM_LB_11,2799105,2734100,0.9767765053472449,22.0651
PM_LB_12,1228991,1196839,0.9738387018293869,9.82974
PM_LB_13,1675669,1623110,0.968634020203274,13.1725
PM_LB_14,4540745,4402026,0.9694501673183585,33.7544
PM_LB_15,1489412,1461107,0.9809958560828032,12.1611
PM_LB_16,2528286,2460460,0.9731731299386225,18.3241
PM_LB_17,9385625,9241630,0.9846579210228408,64.5338
PM_LB_1,6094023,5857386,0.9611690011672093,41.2412
PM_LB_2,7407578,7193697,0.9711267299514093,48.1184
PM_LB_3,1004005,976884,0.9729871863187932,8.11384
PM_LB_4,653481,612308,0.9369943426052173,4.35753
PM_LB_5,5390612,5270499,0.9777181143810758,38.7567
PM_LB_6,3164779,3067828,0.9693656334296961,24.6248
PM_LB_7,4834834,4731561,0.978639804386252,35.8185
PM_LB_8,6403575,6210265,0.9698121752302424,45.551
PM_LB_9,1791375,1742539,0.972738259716698,14.3356
PM_ME_10,4506820,4433645,0.983763496212407,35.8913
PM_ME_12,578784,541978,0.9364080555094819,NA
PM_ME_13,792473,764160,0.9642725998235903,NA
PM_ME_14,5354489,5273987,0.9849655121151617,42.1489
PM_ME_15,2960042,2915975,0.9851127112385567,19.4954
PM_ME_1,717342,699723,0.9754384937728448,NA
PM_ME_3,439666,418378,0.951581427720133,NA
PM_ME_4,1625371,1595077,0.9813617937074058,13.6612
PM_ME_5,785069,764900,0.9743092645359834,6.66468
PM_ME_6,1983087,1932934,0.9747096320030336,15.9725
PM_ME_7,1342708,1322626,0.9850436580403186,11.4263
PM_ME_8,1800580,1765114,0.9803030134734363,14.9485
PM_MT_10,4508619,4426112,0.9817001614019726,33.8409
PM_MT_11,9833556,9697920,0.986206820808261,68.6438
PM_MT_12,2907947,2822438,0.9705947185419816,21.8653
PM_MT_13,3533218,3429266,0.9705786622846369,26.4503
PM_MT_14,1052797,1026865,0.9753684708448067,8.21372
PM_MT_15,704535,671864,0.9536275699574897,5.21269
PM_MT_1,10640775,10387983,0.9762430837979377,69.7767
PM_MT_2,10401776,10264117,0.9867658176834417,69.8767
PM_MT_3,13889345,13734681,0.9888645576879256,89.2271
PM_MT_4,6791351,6585006,0.9696165019301756,43.682
PM_MT_5,9371224,9217772,0.9836251913303962,64.9701
PM_MT_6,8569037,8361791,0.9758145518568773,57.0933
PM_MT_7,2945755,2900491,0.9846341600031231,22.2565
PM_MT_8,14223462,14091661,0.9907335499613245,92.9975
PM_MT_9,5281898,5188680,0.9823514198873208,39.058
PM_MV_11,17501884,17433599,0.9960984200329519,100.327
PM_MV_1,9280809,9240252,0.995630014581703,64.5022
PM_MV_2,18504503,18421710,0.9955257917491759,107.273
PM_MV_3,12622451,12576027,0.996322108915297,79.1127
PM_MV_4,11373529,11331977,0.9963466044707847,77.9088
PM_MV_5,8035077,7978230,0.9929251455835457,56.5055
PM_MV_6,19624802,19519215,0.9946197164180306,108.83
PM_MV_7,11909140,11861724,0.9960185202290006,74.2598
PM_MV_8,14696140,14623835,0.9950800005987966,92.1364
PM_MV_9,14308775,14236219,0.9949292654332743,88.1964
PM_PP_10,1727827,1600315,0.9262009448862647,10.6876
PM_PP_1,14473326,14392832,0.9944384587205456,86.7866
PM_PP_2,13870526,13786782,0.9939624495855457,88.3745
PM_PP_3,16704415,16616982,0.9947658747702329,95.9736
PM_PP_4,18472388,18307962,0.9910988227401893,100.431
PM_PP_5,19251476,19071937,0.9906740137743205,97.7937
PM_PP_6,15065307,14993656,0.9952439734550381,89.418
PM_PP_7,15422695,15313825,0.9929409224522692,94.6546
PM_PP_8,11212399,11130091,0.9926591980895435,71.5789
PM_PP_9,9416500,7492104,0.7956357457654117,47.858
