ID,Taxon,Pop
PM_HP_10,PM,HP
PM_HP_11,PM,HP
PM_HP_12,PM,HP
PM_HP_13,PM,HP
PM_HP_14,PM,HP
PM_HP_15,PM,HP
PM_HP_1,PM,HP
PM_HP_2,PM,HP
PM_HP_3,PM,HP
PM_HP_4,PM,HP
PM_HP_5,PM,HP
PM_HP_6,PM,HP
PM_HP_7,PM,HP
PM_HP_8,PM,HP
PM_HP_9,PM,HP
PM_JA_10,PM,JA
PM_JA_11,PM,JA
PM_JA_12,PM,JA
PM_JA_14,PM,JA
PM_JA_15,PM,JA
PM_JA_1,PM,JA
PM_JA_2,PM,JA
PM_JA_3,PM,JA
PM_JA_4,PM,JA
PM_JA_5,PM,JA
PM_JA_6,PM,JA
PM_JA_7,PM,JA
PM_JA_8,PM,JA
PM_JA_9,PM,JA
PM_LB_10,PM,LB
PM_LB_11,PM,LB
PM_LB_12,PM,LB
PM_LB_13,PM,LB
PM_LB_14,PM,LB
PM_LB_15,PM,LB
PM_LB_16,PM,LB
PM_LB_17,PM,LB
PM_LB_1,PM,LB
PM_LB_2,PM,LB
PM_LB_3,PM,LB
PM_LB_4,PM,LB
PM_LB_5,PM,LB
PM_LB_6,PM,LB
PM_LB_7,PM,LB
PM_LB_8,PM,LB
PM_LB_9,PM,LB
PM_ME_10,PM,ME
PM_ME_14,PM,ME
PM_ME_15,PM,ME
PM_ME_4,PM,ME
PM_ME_5,PM,ME
PM_ME_6,PM,ME
PM_ME_7,PM,ME
PM_ME_8,PM,ME
PM_MT_10,PM,MT
PM_MT_11,PM,MT
PM_MT_12,PM,MT
PM_MT_13,PM,MT
PM_MT_14,PM,MT
PM_MT_15,PM,MT
PM_MT_1,PM,MT
PM_MT_2,PM,MT
PM_MT_3,PM,MT
PM_MT_4,PM,MT
PM_MT_5,PM,MT
PM_MT_6,PM,MT
PM_MT_7,PM,MT
PM_MT_8,PM,MT
PM_MT_9,PM,MT
PM_MV_11,PM,MV
PM_MV_1,PM,MV
PM_MV_2,PM,MV
PM_MV_3,PM,MV
PM_MV_4,PM,MV
PM_MV_5,PM,MV
PM_MV_6,PM,MV
PM_MV_7,PM,MV
PM_MV_8,PM,MV
PM_MV_9,PM,MV
PM_PP_10,PM,PP
PM_PP_1,PM,PP
PM_PP_2,PM,PP
PM_PP_3,PM,PP
PM_PP_4,PM,PP
PM_PP_5,PM,PP
PM_PP_6,PM,PP
PM_PP_7,PM,PP
PM_PP_8,PM,PP
PM_PP_9,PM,PP
