"","ID1","ID2","k0","k1","kinship"
"1","PM_MV_11.sorted.bam","PM_MV_1.sorted.bam",1,0,0
"2","PM_MV_11.sorted.bam","PM_MV_2.sorted.bam",1,0,0
"3","PM_MV_11.sorted.bam","PM_MV_3.sorted.bam",1,0,0
"4","PM_MV_11.sorted.bam","PM_MV_4.sorted.bam",1,0,0
"5","PM_MV_11.sorted.bam","PM_MV_5.sorted.bam",1,0,0
"6","PM_MV_11.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"7","PM_MV_11.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"8","PM_MV_11.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"9","PM_MV_11.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"10","PM_MV_1.sorted.bam","PM_MV_2.sorted.bam",1,0,0
"11","PM_MV_1.sorted.bam","PM_MV_3.sorted.bam",1,0,0
"12","PM_MV_1.sorted.bam","PM_MV_4.sorted.bam",1,0,0
"13","PM_MV_1.sorted.bam","PM_MV_5.sorted.bam",1,0,0
"14","PM_MV_1.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"15","PM_MV_1.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"16","PM_MV_1.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"17","PM_MV_1.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"18","PM_MV_2.sorted.bam","PM_MV_3.sorted.bam",1,0,0
"19","PM_MV_2.sorted.bam","PM_MV_4.sorted.bam",1,0,0
"20","PM_MV_2.sorted.bam","PM_MV_5.sorted.bam",1,0,0
"21","PM_MV_2.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"22","PM_MV_2.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"23","PM_MV_2.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"24","PM_MV_2.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"25","PM_MV_3.sorted.bam","PM_MV_4.sorted.bam",1,0,0
"26","PM_MV_3.sorted.bam","PM_MV_5.sorted.bam",1,0,0
"27","PM_MV_3.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"28","PM_MV_3.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"29","PM_MV_3.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"30","PM_MV_3.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"31","PM_MV_4.sorted.bam","PM_MV_5.sorted.bam",1,0,0
"32","PM_MV_4.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"33","PM_MV_4.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"34","PM_MV_4.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"35","PM_MV_4.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"36","PM_MV_5.sorted.bam","PM_MV_6.sorted.bam",1,0,0
"37","PM_MV_5.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"38","PM_MV_5.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"39","PM_MV_5.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"40","PM_MV_6.sorted.bam","PM_MV_7.sorted.bam",1,0,0
"41","PM_MV_6.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"42","PM_MV_6.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"43","PM_MV_7.sorted.bam","PM_MV_8.sorted.bam",1,0,0
"44","PM_MV_7.sorted.bam","PM_MV_9.sorted.bam",1,0,0
"45","PM_MV_8.sorted.bam","PM_MV_9.sorted.bam",1,0,0
